subscription_id,customer_id,plan_name,monthly_fee_USD,subscription_start,subscription_end,tenure_months,total_revenue_USD,subscription_status,cancellation_reason,payment_method
SUB-0232,CUST-0223,Starter,29,2019-10-08,2025-02-06,64,1856,Active,,Crypto
SUB-0233,CUST-0224,Enterprise,499,07/02/2023,2023-08-12,6.1,"$3,043.90",Cancelled,Missing features,Crypto
SUB-0234,CUST-0225,Enterprise,499,2023-10-27,8 January 2024,2.4,1197.6,Cancelled,Poor support,PayPal
SUB-0235,CUST-0225,Professional,79,2019-01-13,04/29/2022,39.5,3120.5,Cancelled,Found alternative,PayPal
SUB-0236,CUST-0226,Business,199,2022-11-02,2022-12-26,1.8,358.2,Cancelled,Too expensive,Credit Card
SUB-0237,CUST-0227,Enterprise,499,2023-03-30,2023-05-26,1.9,948.1,Cancelled,Switched to competitor,Bank Transfer
SUB-0238,CUST-0228,Starter,29,2022-05-20,2022-09-26,4.2,121.8,Cancelled,Found alternative,Credit Card
SUB-0239,CUST-0229,Professional,79,2019-04-17,1 June 2022,37.5,"$2,962.50",Cancelled,Found alternative,Crypto
SUB-0240,CUST-0230,Starter,29,2023-05-08,2024-09-30,16.8,$487.20,Active,,PayPal
SUB-0241,CUST-0231,Professional,79,"June 16, 2023",2024-02-28,8.4,663.6,Cancelled,Too expensive,Bank Transfer
SUB-0242,CUST-0232,Professional,79,27/05/2022,2023-01-28,8.1,639.9,Cancelled,Found alternative,Crypto
SUB-0243,CUST-0233,BUSINESS,199,18 May 2020,2024-04-18,47,9353,Cancelled,Poor support,PayPal
SUB-0244,CUST-0234,Enterprise,499,2019-03-16,2021-02-14,,11477,Cancelled,Missing features,Bank Transfer
SUB-0245,CUST-0235,Professional,79,2019-04-07,2025-05-12,,5782.8,Active,,Credit Card
SUB-0246,CUST-0236,Enterprise,499,2023-05-19,2023-07-10,1.7,848.3,Cancelled,Too expensive,PayPal
SUB-0247,CUST-0237,Professional,79,2022-07-19,2023-01-30,6.4,505.6,Cancelled,Too expensive,PayPal
SUB-0248,CUST-0238,Business,199,2022-03-16,2023-02-17,11.1,2208.9,Cancelled,Budget cuts,Crypto
SUB-0249,CUST-0239,Business,199,2022-09-08,2023-03-16,6.2,1233.8,Cancelled,Missing features,PayPal
SUB-0250,CUST-0240,Professional,79,19/02/2021,"June 4, 2024",39.5,3120.5,Cancelled,Company closure,PayPal
SUB-0251,CUST-0241,Enterprise,499,2020-05-24,2021-10-21,16.9,8433.1,Cancelled,Missing features,Bank Transfer
SUB-0252,CUST-0242,Professional,79,2023-06-11,2023-07-15,1.1,86.9,Cancelled,Company closure,PayPal
SUB-0253,CUST-0243,Enterprise,499,2019-05-23,2023-05-14,47.7,23802.3,cancelled,Missing features,PayPal
SUB-0254,CUST-0244,Business,199,2022-04-14,2023-04-02,11.6,2308.4,Cancelled,Company closure,Bank Transfer
SUB-0255,CUST-0245,Starter,29,2020-09-23,2024-10-06,48.4,1403.6,Active,,Crypto
SUB-0256,CUST-0246,Starter,29,2023-08-19,2023-11-11,2.8,81.2,Cancelled,Found alternative,Bank Transfer
SUB-0257,CUST-0247,Starter,$29.00,2022-03-04,2022-06-30,3.9,113.1,Cancelled,Switched to competitor,Bank Transfer
SUB-0258,CUST-0248,Professional,79,26 October 2022,2023-06-01,7.2,568.8,Cancelled,Found alternative,PayPal
SUB-0259,CUST-0249,Business,199,2023-01-10,02/29/2024,13.6,2706.4,Cancelled,Too expensive,PayPal
SUB-0260,CUST-0250,Professional,79,3 January 2021,2022-06-13,17.3,1366.7,Cancelled,Found alternative,Crypto
SUB-0261,CUST-0251,Business,$199.00,2020-01-03,2024-06-12,53.3,10606.7,Active,,PayPal
SUB-0262,CUST-0252,Starter,29,2021-03-16,2022-07-31,16.5,478.5,Cancelled,Company closure,Bank Transfer
SUB-0263,CUST-0253,Professional,79,"February 4, 2023",2024-06-24,16.6,1311.4,Active,,Bank Transfer
SUB-0264,CUST-0254,Starter,29,2023-12-12,2024-12-03,11.7,$339.30,Active,,PayPal
SUB-0265,CUST-0255,Professional,79,2019-04-27,2020-09-04,16.3,"$1,287.70",Cancelled,Company closure,Credit Card
SUB-0266,CUST-0256,Starter,29,2019-06-28,8 February 2021,19.4,562.6,Cancelled,Missing features,Crypto
SUB-0267,CUST-0257,Starter,29,2020-12-31,2021-12-04,11.1,321.9,Cancelled,Found alternative,Bank Transfer
SUB-0268,CUST-0258,Starter,$29.00,"July 30, 2020",2023-12-14,40.5,"$1,174.50",Cancelled,Missing features,Bank Transfer
SUB-0269,CUST-0258,Business,199,2020-07-22,2022-06-15,22.8,4537.2,Cancelled,Company closure,Crypto
SUB-0270,CUST-0259,Professional,$79.00,2021-08-10,2021-09-13,,86.9,Cancelled,Missing features,Crypto
SUB-0271,CUST-0260,Business,199,"March 28, 2019",2022-08-02,40.2,7999.8,cancelled,No longer needed,Crypto
SUB-0272,CUST-0261,Professional,79,2023-12-11,13 February 2024,2.1,165.9,Cancelled,No longer needed,Crypto
SUB-0273,CUST-0262,Business,199,2020-02-26,08/11/2024,56.4,11223.6,Active,,Bank Transfer
SUB-0274,CUST-0263,Business,199,2023-03-14,2024-06-20,15.2,3024.8,Cancelled,Missing features,Crypto
SUB-0275,CUST-0264,Professional,79,2020-11-23,2023-11-18,35.8,2828.2,Cancelled,Found alternative,Credit Card
SUB-0276,CUST-0265,Starter,29,2019-04-22,2022-05-30,37.3,1081.7,Cancelled,Poor support,Credit Card
SUB-0277,CUST-0266,Enterprise,499,2021-02-22,2022-11-12,20.6,10279.4,Cancelled,Budget cuts,Crypto
SUB-0278,CUST-0267,Starter,29,14 January 2020,2024-06-03,,1525.4,Active,,Bank Transfer
SUB-0279,CUST-0268,Starter,29,2019-02-27,2020-03-27,12.9,374.1,Cancelled,Budget cuts,Crypto
SUB-0280,CUST-0269,Business,199,2021-03-02,2024-02-11,35.3,7024.7,Cancelled,Company closure,Credit Card
SUB-0281,CUST-0270,Professional,79,2019-05-07,9 September 2021,28.1,2219.9,Cancelled,Budget cuts,Credit Card
SUB-0282,CUST-0271,Enterprise,499,2022-06-13,2024-02-23,20.4,10179.6,Cancelled,Too expensive,Credit Card
SUB-0283,CUST-0272,Professional,79,2021-05-04,"February 7, 2024",33.1,2614.9,Cancelled,Too expensive,Credit Card
SUB-0284,CUST-0273,Business,199,2019-06-20,2022-02-08,,"$6,308.30",Cancelled,Company closure,PayPal
SUB-0285,CUST-0274,Professional,79,2023-12-28,2024-03-06,2.3,181.7,Cancelled,No longer needed,Credit Card
SUB-0286,CUST-0275,Business,199,2020-11-10,2021-11-25,12.5,2487.5,Cancelled,Company closure,Crypto
SUB-0287,CUST-0276,Business,199,2020-06-19,2026-07-19,73,14527,Active,,Crypto
SUB-0288,CUST-0277,Enterprise,499,2019-04-20,2023-12-20,56,27944,Cancelled,Found alternative,Bank Transfer
SUB-0289,CUST-0278,Enterprise,499,"February 17, 2019",2020-01-10,10.7,5339.3,Cancelled,Found alternative,Credit Card
SUB-0290,CUST-0279,Professional,79,04/28/2022,2024-01-15,20.6,1627.4,Cancelled,Poor support,Credit Card
SUB-0291,CUST-0280,Enterprise,499,2019-04-09,05/14/2024,61.2,30538.8,Cancelled,Poor support,Credit Card
SUB-0292,CUST-0281,Starter,29,2019-05-09,2020-12-25,19.6,568.4,Cancelled,Missing features,Crypto
SUB-0293,CUST-0282,Professional,$79.00,2019-07-11,"June 6, 2023",46.8,3697.2,Cancelled,No longer needed,Bank Transfer
SUB-0294,CUST-0283,Starter,29,2021-07-28,2022-02-17,6.7,194.3,Cancelled,Company closure,Crypto
SUB-0295,CUST-0284,Enterprise,$499.00,07/16/2021,2022-03-24,8.2,4091.8,Cancelled,Switched to competitor,Crypto
SUB-0296,CUST-0285,Starter,29,"October 6, 2019",2023-12-06,50,1450,Cancelled,Company closure,PayPal
SUB-0297,CUST-0286,Professional,79,2021-12-23,2023-07-08,18.5,1461.5,Cancelled,No longer needed,Credit Card
SUB-0298,CUST-0287,Business,199,01/06/2022,2024-04-22,27.5,5472.5,Cancelled,Switched to competitor,Credit Card
SUB-0299,CUST-0288,Starter,$29.00,2019-06-19,"May 11, 2022",34.7,"$1,006.30",Cancelled,No longer needed,PayPal
SUB-0300,CUST-0289,Starter,29,2021-01-29,2021-03-22,1.7,49.3,Cancelled,Budget cuts,Crypto
SUB-0301,CUST-0290,BUSINESS,199,2019-03-25,13/01/2022,33.7,"$6,706.30",Cancelled,Too expensive,Credit Card
SUB-0302,CUST-0291,Professional,79,2020-01-23,21 December 2024,58.9,4653.1,Active,,Credit Card
SUB-0303,CUST-0292,Professional,79,11/03/2020,2022-07-19,28.3,2235.7,Cancelled,Company closure,PayPal
SUB-0304,CUST-0292,Business,199,"October 8, 2022",2023-05-29,7.7,1532.3,Cancelled,Poor support,PayPal
SUB-0305,CUST-0293,Business,$199.00,2020-06-02,2024-03-12,,"$9,014.70",Cancelled,Missing features,PayPal
SUB-0306,CUST-0294,Professional,79,2023-10-06,2024-01-23,3.6,284.4,Cancelled,No longer needed,Crypto
SUB-0307,CUST-0295,Professional,79,2023-04-18,2023-09-19,5.1,402.9,Cancelled,Poor support,Bank Transfer
SUB-0308,CUST-0296,Starter,29,2023-06-27,2026-04-24,33.9,983.1,Active,,Bank Transfer
SUB-0309,CUST-0297,Starter,29,04/07/2023,"June 15, 2023",2.3,66.7,Cancelled,Company closure,Bank Transfer
SUB-0310,CUST-0298,Starter,29,2020-01-25,2023-04-26,,1131,Cancelled,Company closure,PayPal
SUB-0311,CUST-0299,Enterprise,499,"June 1, 2019",2021-04-22,22.7,11327.3,CANCELLED,Switched to competitor,Credit Card
SUB-0312,CUST-0300,Professional,79,2020-12-01,2021-04-08,4.2,331.8,Cancelled,Budget cuts,Credit Card
SUB-0313,CUST-0301,Starter,29,"October 7, 2019",2022-03-13,29.2,846.8,Cancelled,Found alternative,Crypto
SUB-0314,CUST-0302,Starter,29,2021-06-12,2023-06-11,23.9,693.1,Cancelled,No longer needed,Bank Transfer
SUB-0315,CUST-0303,Starter,29,2023-01-12,"January 12, 2024",12,348,Cancelled,Too expensive,Bank Transfer
SUB-0316,CUST-0304,Starter,29,2021-03-07,2022-12-31,,632.2,Cancelled,Budget cuts,Bank Transfer
SUB-0317,CUST-0305,Professional,$79.00,2023-09-01,2023-12-01,3,237,Cancelled,Missing features,Bank Transfer
SUB-0318,CUST-0306,Business,199,2021-05-30,2022-03-18,9.6,1910.4,Cancelled,Switched to competitor,PayPal
SUB-0319,CUST-0306,Business,199,2023-05-08,2024-05-06,12,2388,Cancelled,No longer needed,Credit Card
SUB-0320,CUST-0307,enterprise,499,2021-01-02,2026-01-16,60.4,30139.6,Active,,Crypto
SUB-0321,CUST-0308,Enterprise,499,2019-04-03,2021-01-23,,10828.3,Cancelled,Too expensive,PayPal
SUB-0322,CUST-0308,Starter,29,02/19/2023,2023-11-14,8.8,255.2,cancelled,Missing features,Crypto
SUB-0323,CUST-0309,Starter,29,2020-06-15,2024-08-19,50.1,1452.9,Active,,Crypto
SUB-0324,CUST-0310,Starter,29,2019-02-13,"May 23, 2024",63.3,1835.7,Cancelled,Switched to competitor,PayPal
SUB-0325,CUST-0311,Professional,79,02/14/2020,2021-07-11,16.9,1335.1,Cancelled,Budget cuts,Crypto
SUB-0326,CUST-0312,Professional,79,"June 24, 2021",03/05/2022,8.3,655.7,Cancelled,Found alternative,Bank Transfer
SUB-0327,CUST-0313,Starter,29,2023-11-21,2024-06-25,7.1,$205.90,Cancelled,Budget cuts,PayPal
SUB-0328,CUST-0314,Business,199,2019-09-10,2025-10-31,73.7,14666.3,ACTIVE,,Bank Transfer
SUB-0329,CUST-0315,Starter,29,2022-04-05,01/06/2023,13.9,403.1,Cancelled,Company closure,Credit Card
SUB-0330,CUST-0316,Starter,29,2022-09-16,2023-05-11,,226.2,Cancelled,Found alternative,Crypto
SUB-0331,CUST-0317,Business,199,"April 19, 2023",2024-06-30,14.4,2865.6,Cancelled,No longer needed,Bank Transfer
SUB-0332,CUST-0318,Starter,29,2021-08-08,2025-05-13,,1307.9,Active,,Crypto
SUB-0333,CUST-0319,Professional,79,2021-02-08,2023-01-29,,1872.3,Cancelled,Too expensive,Bank Transfer
SUB-0334,CUST-0320,Enterprise,499,02/20/2023,2023-06-19,,1946.1,Cancelled,No longer needed,Bank Transfer
SUB-0335,CUST-0320,Business,199,2021-06-08,2024-03-07,,6567,Cancelled,Poor support,Crypto
SUB-0336,CUST-0321,Starter,29,12/28/2021,"September 4, 2022",8.2,237.8,Cancelled,Switched to competitor,Bank Transfer
SUB-0337,CUST-0322,enterprise,499,2020-08-10,2021-11-14,,7534.9,Cancelled,Company closure,Bank Transfer
SUB-0338,CUST-0323,Enterprise,499,2022-03-27,03/07/2023,15.2,7584.8,Cancelled,Poor support,Crypto
SUB-0339,CUST-0324,Starter,29,2021-12-17,2023-08-17,20,580,Cancelled,Found alternative,Credit Card
SUB-0340,CUST-0325,Professional,79,"February 19, 2020",2021-12-18,21.9,1730.1,cancelled,No longer needed,Crypto
SUB-0341,CUST-0326,Starter,29,2020-01-08,2021-09-02,19.8,574.2,Cancelled,Missing features,Credit Card
SUB-0342,CUST-0327,Professional,79,2020-07-18,2024-08-30,49.4,3902.6,Active,,Credit Card
SUB-0343,CUST-0328,Starter,29,05/01/2019,2020-03-15,10.5,$304.50,CANCELLED,Poor support,PayPal
SUB-0344,CUST-0329,Professional,79,2019-05-16,2023-06-29,49.4,"$3,902.60",Cancelled,Switched to competitor,Crypto
SUB-0345,CUST-0330,Starter,29,2023-09-21,2025-02-11,16.7,484.3,Active,,PayPal
SUB-0346,CUST-0331,Professional,79,2021-06-26,2022-02-05,,584.6,Cancelled,Missing features,Bank Transfer
SUB-0347,CUST-0332,Business,199,2022-05-05,2022-07-03,1.9,$378.10,Cancelled,Missing features,PayPal
SUB-0348,CUST-0333,Business,199,2022-11-30,2024-03-20,15.6,3104.4,Cancelled,Missing features,PayPal
SUB-0349,CUST-0334,Professional,79,2023-12-13,2024-04-11,3.9,308.1,Cancelled,Company closure,Bank Transfer
SUB-0350,CUST-0335,Business,199,2020-10-19,2024-11-19,49,9751,Active,,Bank Transfer
SUB-0351,CUST-0336,Enterprise,499,2023-01-14,2023-10-31,9.5,4740.5,Cancelled,Budget cuts,Crypto
SUB-0352,CUST-0337,Business,199,2020-07-18,2022-02-01,18.5,3681.5,Cancelled,Company closure,PayPal
SUB-0353,CUST-0338,Starter,29,"May 19, 2020",2021-10-20,17,$493.00,Cancelled,Poor support,Crypto
SUB-0354,CUST-0339,Business,199,2022-08-07,"November 22, 2026",51.5,10248.5,Active,,PayPal
SUB-0355,CUST-0340,Professional,79,2020-06-12,2024-05-06,46.8,3697.2,Cancelled,Budget cuts,Crypto
SUB-0356,CUST-0341,Starter,29,25/03/2019,2021-07-08,27.5,797.5,Cancelled,Poor support,Credit Card
SUB-0357,CUST-0342,Enterprise,$499.00,2019-11-09,2024-01-13,,24999.9,Cancelled,Too expensive,Bank Transfer
SUB-0358,CUST-0343,Starter,$29.00,2020-06-22,2021-06-13,11.7,339.3,Cancelled,Missing features,Credit Card
SUB-0359,CUST-0344,Business,199,2022-01-08,2022-05-27,4.6,915.4,Cancelled,Missing features,Crypto
SUB-0360,CUST-0345,Business,199,2021-06-19,2023-11-22,29.1,"$5,790.90",Cancelled,No longer needed,PayPal
SUB-0361,CUST-0346,PROFESSIONAL,$79.00,2022-10-15,2023-04-25,6.3,497.7,Cancelled,No longer needed,Credit Card
SUB-0362,CUST-0347,Professional,79,2021-02-17,2024-01-07,34.6,2733.4,Cancelled,Missing features,Crypto
SUB-0363,CUST-0348,Enterprise,499,2020-09-01,2022-11-12,26.3,13123.7,Cancelled,Poor support,PayPal
SUB-0364,CUST-0349,Starter,29,2021-02-22,2026-05-27,63.1,1829.9,Active,,Crypto
SUB-0365,CUST-0350,Business,199,14 September 2019,2024-10-13,61,12139,Active,,Crypto
SUB-0366,CUST-0351,Enterprise,499,2020-02-24,2024-06-28,52.1,"$25,997.90",Cancelled,Switched to competitor,Credit Card
SUB-0367,CUST-0352,Enterprise,499,2021-09-09,2024-06-26,,16716.5,Active,,PayPal
SUB-0368,CUST-0353,Enterprise,499,2023-03-13,2024-07-26,16.5,8233.5,Active,,Credit Card
SUB-0369,CUST-0354,Enterprise,499,2022-10-19,2024-10-15,,11926.1,Active,,Crypto
SUB-0370,CUST-0355,Professional,$79.00,2023-12-29,2024-03-17,2.6,205.4,Cancelled,Found alternative,Bank Transfer
SUB-0371,CUST-0356,Enterprise,499,2022-01-09,2022-12-09,11,5489,Cancelled,Budget cuts,PayPal
SUB-0372,CUST-0357,Business,199,01/25/2023,2025-06-14,28.6,5691.4,Active,,Crypto
SUB-0373,CUST-0358,Starter,29,2022-01-07,2023-06-21,17.4,504.6,CANCELLED,Budget cuts,Bank Transfer
SUB-0374,CUST-0359,Enterprise,$499.00,2020-07-26,2025-05-06,57.3,28592.7,Active,,Credit Card
SUB-0375,CUST-0360,Business,199,2023-09-09,2024-03-31,6.7,1333.3,Cancelled,Poor support,PayPal
SUB-0376,CUST-0361,Enterprise,499,2022-02-07,15/08/2024,30.2,15069.8,active,,Crypto
SUB-0377,CUST-0361,Starter,29,2023-10-18,2025-01-29,,446.6,Active,,PayPal
SUB-0378,CUST-0362,Business,199,2023-02-16,2023-09-20,7.1,1412.9,Cancelled,Budget cuts,PayPal
SUB-0379,CUST-0363,Enterprise,499,2020-01-05,5 September 2021,20,9980,Cancelled,Budget cuts,Credit Card
SUB-0380,CUST-0364,Business,$199.00,12 November 2023,2024-06-15,7.1,1412.9,Cancelled,Budget cuts,Bank Transfer
SUB-0381,CUST-0365,Starter,$29.00,11/09/2022,2024-01-06,13.9,$403.10,Cancelled,Found alternative,Credit Card
SUB-0382,CUST-0366,Professional,79,2020-08-18,2021-01-30,5.4,426.6,Cancelled,No longer needed,Crypto
SUB-0383,CUST-0367,Business,199,2023-02-27,"November 17, 2023",8.6,1711.4,Cancelled,Too expensive,PayPal
SUB-0384,CUST-0368,Business,199,07/31/2020,"February 2, 2021",6.1,1213.9,Cancelled,Switched to competitor,Crypto
SUB-0385,CUST-0369,Professional,79,2019-08-16,26 July 2026,83.3,6580.7,Active,,Credit Card
SUB-0386,CUST-0370,Business,199,2019-09-12,2021-10-26,25.5,"$5,074.50",Cancelled,Budget cuts,Bank Transfer
SUB-0387,CUST-0371,professional,79,2023-01-15,2024-12-18,23.1,"$1,824.90",ACTIVE,,Credit Card
SUB-0388,CUST-0372,Starter,29,2023-05-26,2024-04-10,10.5,304.5,Cancelled,Poor support,PayPal
SUB-0389,CUST-0372,Professional,79,2021-07-13,2024-06-18,35.2,2780.8,CANCELLED,Switched to competitor,Bank Transfer
SUB-0390,CUST-0373,Business,199,2020-08-11,2024-08-08,47.9,"$9,532.10",Active,,PayPal
SUB-0391,CUST-0374,Professional,79,2022-06-03,2023-06-05,12.1,955.9,Cancelled,Too expensive,PayPal
SUB-0392,CUST-0375,Professional,79,2021-07-16,2023-08-03,24.6,1943.4,cancelled,Too expensive,Credit Card
SUB-0393,CUST-0376,Professional,79,2021-05-16,2025-02-08,44.8,3539.2,Active,,PayPal
SUB-0394,CUST-0377,professional,79,25/11/2023,05/11/2024,5.5,434.5,Cancelled,Switched to competitor,Credit Card
SUB-0395,CUST-0378,Professional,$79.00,2021-06-03,2024-02-18,32.5,2567.5,Cancelled,No longer needed,Bank Transfer
SUB-0396,CUST-0379,Professional,79,2023-02-28,2023-12-20,,$766.30,Cancelled,No longer needed,Bank Transfer
SUB-0397,CUST-0380,Starter,29,2023-11-22,12/31/2023,1.3,37.7,Cancelled,Poor support,Bank Transfer
SUB-0398,CUST-0381,Starter,29,2022-04-13,2026-06-08,49.8,1444.2,active,,Crypto
SUB-0399,CUST-0382,business,199,2019-07-07,12 August 2022,,7402.8,Cancelled,Company closure,Crypto
SUB-0400,CUST-0383,Starter,29,"July 3, 2020",2023-05-04,34,986,Cancelled,Poor support,Crypto
SUB-0401,CUST-0384,Professional,79,2021-11-28,2022-03-09,3.3,260.7,Cancelled,Budget cuts,Credit Card
SUB-0402,CUST-0385,Enterprise,499,2022-05-09,"June 30, 2023",13.7,6836.3,Cancelled,No longer needed,PayPal
SUB-0403,CUST-0386,Enterprise,$499.00,2021-05-18,2024-03-13,,16866.2,Cancelled,Budget cuts,PayPal
SUB-0404,CUST-0387,Starter,29,15 June 2021,"May 14, 2022",10.9,316.1,Cancelled,Missing features,PayPal
SUB-0405,CUST-0388,Starter,29,"July 16, 2020",2021-02-28,7.5,217.5,cancelled,Found alternative,PayPal
SUB-0406,CUST-0389,Business,199,2021-04-30,2024-07-28,38.9,7741.1,Active,,Bank Transfer
SUB-0407,CUST-0390,Business,199,2020-09-15,2025-04-27,55.4,11024.6,Active,,Credit Card
SUB-0408,CUST-0391,Business,199,2020-09-18,2025-02-28,53.4,10626.6,Active,,Bank Transfer
SUB-0409,CUST-0392,Professional,79,2023-08-13,2025-08-20,24.2,1911.8,Active,,Bank Transfer
SUB-0410,CUST-0393,Enterprise,499,2020-12-24,2021-09-21,8.9,4441.1,Cancelled,Company closure,Bank Transfer
SUB-0411,CUST-0394,Business,199,04/06/2019,2021-07-03,26.9,5353.1,Cancelled,Poor support,Bank Transfer
SUB-0412,CUST-0395,Business,$199.00,2023-01-24,2024-04-06,14.4,"$2,865.60",Cancelled,Found alternative,Bank Transfer
SUB-0413,CUST-0395,Professional,79,02/10/2021,2022-08-03,17.7,1398.3,Cancelled,Poor support,Bank Transfer
SUB-0414,CUST-0396,enterprise,499,2023-02-12,2023-03-28,1.4,698.6,Cancelled,Budget cuts,PayPal
SUB-0415,CUST-0397,PROFESSIONAL,$79.00,2021-07-22,2023-06-27,23.2,1832.8,Cancelled,Company closure,Credit Card
SUB-0416,CUST-0397,Professional,79,2023-10-21,2024-02-11,3.7,292.3,Cancelled,Budget cuts,Crypto
SUB-0417,CUST-0398,Starter,$29.00,2023-09-16,2024-06-18,9.1,263.9,Active,,Credit Card
SUB-0418,CUST-0399,Enterprise,499,2020-11-18,2023-09-30,34.4,17165.6,Cancelled,Company closure,PayPal
SUB-0419,CUST-0400,Business,199,2022-09-07,2022-12-25,3.6,716.4,Cancelled,Budget cuts,Crypto
SUB-0420,CUST-0401,Enterprise,499,2019-01-12,2022-09-10,43.9,21906.1,Cancelled,Missing features,Credit Card
SUB-0421,CUST-0402,Enterprise,499,2020-06-09,2023-11-13,41.1,20508.9,Cancelled,Company closure,Crypto
SUB-0422,CUST-0403,Enterprise,499,2020-08-14,2023-10-12,,"$18,912.10",Cancelled,Budget cuts,Bank Transfer
SUB-0423,CUST-0404,Business,199,2023-04-16,2024-04-03,11.6,2308.4,Cancelled,Budget cuts,PayPal
SUB-0424,CUST-0405,Business,199,2020-10-04,2024-02-17,40.4,8039.6,Cancelled,Missing features,PayPal
SUB-0425,CUST-0406,Professional,79,2022-09-09,2023-09-05,11.9,940.1,Cancelled,Missing features,Bank Transfer
SUB-0426,CUST-0407,Professional,79,2022-12-28,2023-08-15,7.6,600.4,Cancelled,Poor support,Bank Transfer
SUB-0427,CUST-0408,Professional,79,2021-09-06,2024-07-28,34.7,2741.3,Active,,PayPal
SUB-0428,CUST-0409,Enterprise,499,2019-12-29,2024-10-23,57.8,28842.2,active,,Credit Card
SUB-0429,CUST-0410,Professional,79,10/09/2019,2022-07-05,33.8,2670.2,Cancelled,Missing features,PayPal
SUB-0430,CUST-0411,Professional,79,2021-05-22,2023-10-21,29,2291,Cancelled,Budget cuts,Credit Card
SUB-0431,CUST-0412,Business,$199.00,2019-01-05,18/10/2023,57.4,11422.6,Cancelled,No longer needed,PayPal
SUB-0432,CUST-0413,Starter,29,2023-09-09,2024-06-11,9.1,263.9,Cancelled,Company closure,PayPal
SUB-0433,CUST-0414,Enterprise,499,2023-06-08,2023-10-09,4,1996,Cancelled,No longer needed,Credit Card
SUB-0434,CUST-0415,Business,199,2019-12-23,2024-06-27,54.1,10765.9,Cancelled,Missing features,Crypto
SUB-0435,CUST-0416,Business,199,2021-12-30,2024-04-16,27.5,5472.5,CANCELLED,Found alternative,Credit Card
SUB-0436,CUST-0417,Enterprise,499,2023-02-02,04/12/2023,,1147.7,Cancelled,Missing features,PayPal
SUB-0437,CUST-0418,Business,$199.00,2020-06-18,2024-09-16,51,10149,Active,,PayPal
SUB-0438,CUST-0419,business,199,2023-09-15,2024-03-02,5.6,1114.4,Cancelled,Switched to competitor,Credit Card
SUB-0439,CUST-0420,Enterprise,499,2020-12-30,2023-02-28,26,12974,Cancelled,Missing features,Credit Card
SUB-0440,CUST-0421,PROFESSIONAL,79,22 July 2023,2024-05-27,10.2,805.8,cancelled,Company closure,Credit Card
SUB-0441,CUST-0422,Business,199,2020-05-28,2024-08-28,51,10149,Active,,Bank Transfer
SUB-0442,CUST-0423,Professional,79,28/10/2020,"May 12, 2021",6.4,505.6,Cancelled,Found alternative,PayPal
SUB-0443,CUST-0424,Professional,79,2023-11-21,2024-06-10,6.6,521.4,Cancelled,Missing features,PayPal
SUB-0444,CUST-0425,Business,199,2023-10-25,2025-09-04,22.3,4437.7,Active,,Bank Transfer
SUB-0445,CUST-0426,Business,199,07/07/2021,2023-09-09,,"$5,193.90",Cancelled,Too expensive,Crypto
SUB-0446,CUST-0427,Enterprise,499,2019-11-14,2025-05-18,66.1,32983.9,Active,,PayPal
SUB-0447,CUST-0428,Business,199,2022-06-04,2024-03-05,21,4179,Cancelled,Too expensive,PayPal
SUB-0448,CUST-0429,Professional,79,2023-01-15,2024-06-22,17.2,"$1,358.80",Cancelled,Too expensive,Bank Transfer
SUB-0449,CUST-0430,Professional,79,2023-11-21,29 February 2024,3.3,260.7,Cancelled,No longer needed,Credit Card
SUB-0450,CUST-0431,Starter,29,2023-04-15,2023-10-29,6.5,188.5,Cancelled,Company closure,Crypto
SUB-0451,CUST-0432,Enterprise,499,12/08/2020,14 September 2021,13.1,6536.9,Cancelled,Switched to competitor,Bank Transfer
SUB-0452,CUST-0433,Business,$199.00,2023-07-27,05/01/2024,5.3,1054.7,Cancelled,Switched to competitor,Crypto
SUB-0453,CUST-0434,Professional,79,2020-02-15,2020-05-16,3,237,Cancelled,Company closure,Crypto
SUB-0454,CUST-0435,STARTER,29,02/10/2023,2023-03-26,1.4,40.6,Cancelled,Found alternative,Credit Card
SUB-0455,CUST-0436,Enterprise,499,2019-04-10,2019-12-26,8.5,4241.5,Cancelled,Poor support,Credit Card
SUB-0456,CUST-0437,Business,$199.00,2020-12-04,01/13/2022,13.3,2646.7,Cancelled,Poor support,Bank Transfer
SUB-0457,CUST-0438,Enterprise,499,14 March 2023,10 September 2024,17.9,8932.1,Active,,Bank Transfer
SUB-0458,CUST-0439,Enterprise,499,12 June 2023,2025-01-01,18.7,9331.3,Active,,Credit Card
SUB-0459,CUST-0440,Starter,29,2020-02-16,2021-12-06,21.6,626.4,CANCELLED,Company closure,PayPal
SUB-0460,CUST-0441,Starter,29,2021-04-11,2022-01-28,9.6,278.4,Cancelled,Company closure,Credit Card
SUB-0461,CUST-0442,Starter,29,"May 7, 2023",2025-01-22,20.6,597.4,Active,,PayPal
SUB-0462,CUST-0443,Business,199,2023-11-15,2024-06-15,7,1393,Cancelled,Found alternative,Bank Transfer
SUB-0463,CUST-0444,Business,199,2023-06-30,21 September 2023,2.7,537.3,Cancelled,Company closure,PayPal
SUB-0464,CUST-0445,Enterprise,499,2019-01-07,2023-08-23,55.5,27694.5,Cancelled,Budget cuts,Credit Card
SUB-0465,CUST-0446,Professional,79,2022-05-25,2025-03-07,33.4,2638.6,Active,,Credit Card
SUB-0466,CUST-0447,Enterprise,499,2019-01-07,2022-09-20,44.4,22155.6,Cancelled,Company closure,PayPal
