return_id,order_id,return_date,return_reason,refund_amount_USD,return_status
RET-0399,ORD-00725,2021-08-19,Wrong item received,43.26,Pending
RET-0400,ORD-00686,2021-07-17,Defective product,537.02,Rejected
RET-0401,ORD-01550,2022-10-16,Defective product,$40.84,Pending
RET-0402,ORD-02863,2022-12-26,Changed mind,$61.52,Pending
RET-0403,ORD-00755,2024-06-18,Duplicate order,613.49,Processed
RET-0404,ORD-02213,2021-02-22,Product not as described,199.1,Pending
RET-0405,ORD-03515,2020-11-05,Wrong item received,399.38,Rejected
RET-0406,ORD-01000,2021-12-16,Changed mind,$466.36,Pending
RET-0407,ORD-03437,2023-11-24,Duplicate order,111.14,Processed
RET-0408,ORD-03642,2023-05-19,Damaged in shipping,152,Pending
RET-0409,ORD-01076,2021-10-01,Changed mind,158.15,Processed
RET-0410,ORD-00595,2020-03-12,Quality issues,670.45,Rejected
RET-0411,ORD-01974,2022-10-11,Wrong item received,553.85,Rejected
RET-0412,ORD-05117,2024-07-07,Changed mind,412.81,Pending
RET-0413,ORD-00197,2022-05-03,Wrong item received,65.31,Pending
RET-0414,ORD-03521,2021-02-16,Wrong item received,276.13,Processed
RET-0415,ORD-02507,2024-01-30,Product not as described,211.71,Pending
RET-0416,ORD-05069,2024-10-13,Changed mind,670.05,Rejected
RET-0417,ORD-03047,24/10/2021,Damaged in shipping,544.18,Pending
RET-0418,ORD-01900,13 November 2024,Better price elsewhere,773.85,Rejected
RET-0419,ORD-05000,2023-11-17,Defective product,235.91,Processed
RET-0420,ORD-00335,2022-03-03,Defective product,434.1,Rejected
RET-0421,ORD-00414,2023-07-23,Wrong item received,596,Processed
RET-0422,ORD-01013,2020-12-16,Changed mind,418.84,Processed
RET-0423,ORD-04234,29/09/2023,Quality issues,697.28,Processed
RET-0424,ORD-04070,2021-05-30,Damaged in shipping,636.73,Rejected
RET-0425,ORD-00804,2020-12-19,Duplicate order,402.69,Pending
RET-0426,ORD-00824,2023-06-29,Wrong item received,523.79,Pending
RET-0427,ORD-02682,2024-01-26,Damaged in shipping,560.17,Pending
RET-0428,ORD-01317,2023-08-21,Better price elsewhere,285.25,Pending
RET-0429,ORD-05064,01/09/2021,Changed mind,272.8,Processed
RET-0430,ORD-02808,2022-01-25,Quality issues,12.69,Pending
RET-0431,ORD-01806,2023-10-10,Defective product,630.54,Processed
RET-0432,ORD-02730,2024-03-22,Defective product,45.87,Processed
RET-0433,ORD-02988,2021-03-30,Damaged in shipping,607.87,Pending
RET-0434,ORD-01620,2020-09-15,Damaged in shipping,23.42,Pending
RET-0435,ORD-02743,2020-10-18,Damaged in shipping,$539.34,Pending
RET-0436,ORD-04855,2021-01-18,Changed mind,$645.29,Processed
RET-0437,ORD-04326,"August 26, 2020",Better price elsewhere,$128.01,Pending
RET-0438,ORD-04429,2022-04-20,,752.3,Rejected
RET-0439,ORD-03251,2021-06-13,Better price elsewhere,$137.24,Processed
RET-0440,ORD-01490,20 September 2020,Wrong item received,663.35,Processed
RET-0441,ORD-02219,2022-02-20,Duplicate order,559.07,Rejected
RET-0442,ORD-01439,"September 5, 2023",Defective product,153.42,Pending
RET-0443,ORD-04030,22/09/2024,Better price elsewhere,637.71,Rejected
RET-0444,ORD-00317,2023-08-26,Wrong item received,76.79,Processed
RET-0445,ORD-00808,"April 2, 2023",Damaged in shipping,96.94,Pending
RET-0446,ORD-03122,2020-06-16,Damaged in shipping,91.43,Pending
RET-0447,ORD-03439,2024-07-15,,689.61,Rejected
RET-0448,ORD-03292,2020-07-09,Defective product,625.29,Rejected
RET-0449,ORD-03409,2024-05-10,Damaged in shipping,507.78,Pending
RET-0450,ORD-05081,2024-11-28,Better price elsewhere,37.69,Pending
RET-0451,ORD-00948,17/09/2024,Wrong item received,650.31,Pending
RET-0452,ORD-04373,"February 18, 2021",Duplicate order,191.55,Rejected
RET-0453,ORD-04896,6 March 2022,Duplicate order,653.15,Rejected
RET-0454,ORD-03027,2020-10-24,Damaged in shipping,325.13,Rejected
RET-0455,ORD-00707,2020-11-21,Duplicate order,25.13,Pending
RET-0456,ORD-04280,2022-09-20,,673.04,Pending
RET-0457,ORD-01659,2021-03-04,,513.81,Rejected
RET-0458,ORD-03118,2022-09-24,Changed mind,80.34,Processed
RET-0459,ORD-05009,2022-04-12,Quality issues,434.45,Pending
RET-0460,ORD-04204,13/12/2023,Changed mind,726.9,Processed
RET-0461,ORD-00095,2020-09-15,Changed mind,$360.20,Pending
RET-0462,ORD-04868,2023-01-03,Better price elsewhere,454.59,Processed
RET-0463,ORD-05091,2020-08-20,Defective product,37.65,Rejected
RET-0464,ORD-01689,2023-04-05,Product not as described,316.26,Pending
RET-0465,ORD-01603,28 February 2023,Better price elsewhere,404.71,Pending
RET-0466,ORD-02387,2024-09-01,Changed mind,536.27,Pending
RET-0467,ORD-00582,2 April 2023,Defective product,395.15,Pending
RET-0468,ORD-00257,2022-11-24,Better price elsewhere,278,Pending
RET-0469,ORD-00958,07/07/2020,Duplicate order,713.75,Pending
RET-0470,ORD-02918,2024-10-20,Changed mind,657.42,Pending
RET-0471,ORD-00942,2021-09-19,,169.67,Rejected
RET-0472,ORD-04364,22/10/2024,Quality issues,251.42,Processed
RET-0473,ORD-01233,05/24/2024,Better price elsewhere,$425.10,Pending
RET-0474,ORD-02059,2022-11-29,Damaged in shipping,258.89,Pending
RET-0475,ORD-02568,2021-01-28,Damaged in shipping,358.66,Pending
RET-0476,ORD-04244,"April 9, 2022",Changed mind,632.1,Processed
RET-0477,ORD-03294,2020-09-02,Defective product,$298.37,Rejected
RET-0478,ORD-01088,2020-06-08,Better price elsewhere,624.88,Pending
RET-0479,ORD-04373,2024-04-29,Wrong item received,261.59,Rejected
RET-0480,ORD-02542,2024-01-25,Wrong item received,714.95,Rejected
RET-0481,ORD-04614,2022-11-03,Better price elsewhere,247.96,Processed
RET-0482,ORD-01168,03/10/2022,Wrong item received,$300.78,Pending
RET-0483,ORD-03822,2021-02-23,Defective product,344.66,Rejected
RET-0484,ORD-01167,2020-05-20,Better price elsewhere,$373.87,Processed
RET-0485,ORD-05130,2020-03-08,Damaged in shipping,612.18,Pending
RET-0486,ORD-02783,2023-10-21,Better price elsewhere,291.88,Rejected
RET-0487,ORD-03142,10/26/2023,Damaged in shipping,775.53,Pending
RET-0488,ORD-03528,2023-12-24,Defective product,221.96,Pending
RET-0489,ORD-04097,2023-08-18,Wrong item received,$55.96,Pending
RET-0490,ORD-03266,11/07/2024,Quality issues,746.13,Rejected
RET-0491,ORD-04838,2022-06-12,Damaged in shipping,448.47,Processed
RET-0492,ORD-02292,2021-07-24,Damaged in shipping,239.25,Processed
RET-0493,ORD-00205,2021-02-18,Changed mind,270.42,Pending
RET-0494,ORD-04058,2022-05-02,Damaged in shipping,241.34,Processed
RET-0495,ORD-03034,"November 18, 2023",Product not as described,325.28,Processed
RET-0496,ORD-02160,2024-01-25,Product not as described,190.36,Rejected
RET-0497,ORD-04441,2020-03-12,Wrong item received,461.25,Pending
RET-0498,ORD-01665,2024-07-09,Damaged in shipping,698.9,Pending
RET-0499,ORD-05100,2023-10-15,Duplicate order,544.16,Processed
RET-0500,ORD-03738,01/03/2023,,102.35,Rejected
RET-0501,ORD-03469,2021-08-28,Product not as described,325.21,Rejected
RET-0502,ORD-05195,2024-07-04,Duplicate order,198.91,Pending
RET-0503,ORD-01476,2022-12-21,Better price elsewhere,229.59,Processed
RET-0504,ORD-02291,2024-12-24,Better price elsewhere,623.46,Processed
RET-0505,ORD-03622,2024-07-30,Better price elsewhere,545.86,Pending
RET-0506,ORD-04791,07/09/2021,Product not as described,416.75,Rejected
RET-0507,ORD-04090,2024-02-11,Better price elsewhere,415.25,Pending
RET-0508,ORD-04024,2023-04-08,Duplicate order,692.12,Processed
RET-0509,ORD-04754,2023-07-28,Wrong item received,$91.45,Processed
RET-0510,ORD-00769,2022-04-29,Damaged in shipping,468.54,Pending
RET-0511,ORD-01707,2023-10-06,Damaged in shipping,637.5,Processed
RET-0512,ORD-04921,16/01/2024,Quality issues,166.9,Rejected
RET-0513,ORD-04084,2021-07-23,Quality issues,329.85,Processed
RET-0514,ORD-04244,"December 29, 2023",Wrong item received,191.62,Pending
RET-0515,ORD-00172,2024-02-01,Better price elsewhere,653.7,Processed
RET-0516,ORD-02500,"August 13, 2020",Quality issues,244.41,Pending
RET-0517,ORD-04271,2023-12-16,,381.25,Processed
RET-0518,ORD-00393,30 August 2023,Defective product,484.69,Processed
RET-0519,ORD-01325,2021-06-15,Changed mind,258.01,Processed
RET-0520,ORD-00495,2024-10-01,Changed mind,746.91,Pending
RET-0521,ORD-04890,2022-06-03,Quality issues,492.6,Rejected
RET-0522,ORD-02836,2021-07-06,Quality issues,439.1,Rejected
RET-0523,ORD-00207,2022-04-18,Defective product,601.04,Rejected
RET-0524,ORD-00087,2024-01-17,Quality issues,664.84,Processed
RET-0525,ORD-05101,2020-07-26,Better price elsewhere,689.79,Rejected
RET-0526,ORD-03612,2022-07-19,Defective product,$602.22,Processed
RET-0527,ORD-00239,2023-02-12,Duplicate order,772.6,Processed
RET-0528,ORD-03067,2020-06-10,Product not as described,362.45,Rejected
RET-0529,ORD-00992,28 February 2024,Quality issues,302.14,Rejected
RET-0530,ORD-04686,"August 10, 2023",Damaged in shipping,107.58,Pending
RET-0531,ORD-04852,2022-10-18,Product not as described,448.23,Processed
RET-0532,ORD-03532,2022-04-14,,629.98,Pending
RET-0533,ORD-03301,"February 22, 2024",Changed mind,593.97,Rejected
RET-0534,ORD-04365,2022-02-15,Better price elsewhere,307.37,Processed
RET-0535,ORD-01115,"March 22, 2021",Damaged in shipping,661.36,Rejected
RET-0536,ORD-02113,2024-01-16,Quality issues,134.03,Pending
RET-0537,ORD-02805,2022-12-19,Wrong item received,460.94,Processed
RET-0538,ORD-04417,"March 5, 2020",Duplicate order,$672.97,Processed
RET-0539,ORD-05111,2023-08-05,Better price elsewhere,582.58,Processed
RET-0540,ORD-00593,"May 3, 2024",,319.04,Processed
RET-0541,ORD-04392,2024-09-30,,258.23,Rejected
RET-0542,ORD-00201,2024-04-24,Wrong item received,415.62,Rejected
RET-0543,ORD-04254,"October 9, 2022",Better price elsewhere,735,Rejected
RET-0544,ORD-00187,2021-11-13,Duplicate order,721.26,Processed
RET-0545,ORD-03846,18 December 2021,Damaged in shipping,499.19,Rejected
RET-0546,ORD-01806,2024-08-12,Damaged in shipping,39.74,Pending
RET-0547,ORD-05080,2022-06-11,Quality issues,309.06,Rejected
RET-0548,ORD-03558,2021-05-24,Better price elsewhere,263.85,Processed
RET-0549,ORD-01598,2022-06-11,Wrong item received,187.6,Pending
RET-0550,ORD-02406,2020-08-21,Better price elsewhere,321.96,Pending
RET-0551,ORD-02735,"February 10, 2021",Defective product,$576.50,Processed
RET-0552,ORD-04428,2024-01-17,Changed mind,799.08,Pending
RET-0553,ORD-01026,12/14/2021,Defective product,462.96,Rejected
RET-0554,ORD-00208,2022-12-24,Product not as described,799.17,Rejected
RET-0555,ORD-03211,2023-04-06,Quality issues,405,Processed
RET-0556,ORD-04557,04/05/2023,Quality issues,118.58,Pending
RET-0557,ORD-02872,2022-12-13,Wrong item received,198.22,Rejected
RET-0558,ORD-02271,2021-11-25,Quality issues,40.48,Pending
RET-0559,ORD-03798,2021-01-11,Wrong item received,355.43,Processed
RET-0560,ORD-04204,2022-05-15,Defective product,184.36,Processed
RET-0561,ORD-00860,20 November 2020,,$201.35,Rejected
RET-0562,ORD-04297,2022-05-17,Changed mind,703.41,Processed
RET-0563,ORD-02347,2024-10-11,Changed mind,459.15,Rejected
RET-0564,ORD-02787,12/31/2022,,295.09,Processed
RET-0565,ORD-02242,03/24/2024,Product not as described,452.8,Processed
RET-0566,ORD-03970,"November 27, 2020",Wrong item received,246.78,Pending
RET-0567,ORD-03551,2024-09-11,Duplicate order,$213.05,Rejected
RET-0568,ORD-03928,2021-02-12,Better price elsewhere,508.3,Processed
RET-0569,ORD-04061,2022-05-19,Product not as described,316.49,Pending
RET-0570,ORD-00520,2023-02-22,Quality issues,489.4,Rejected
RET-0571,ORD-01225,2023-02-20,Wrong item received,208.02,Rejected
RET-0572,ORD-04806,2023-06-16,Quality issues,450.64,Pending
RET-0573,ORD-00655,2020-11-10,Wrong item received,165.7,Rejected
RET-0574,ORD-03510,2024-03-25,Better price elsewhere,416.7,Pending
RET-0575,ORD-03318,2021-11-16,Better price elsewhere,$16.35,Processed
RET-0576,ORD-04169,2020-04-12,Defective product,295.96,Rejected
RET-0577,ORD-00625,2020-12-01,Changed mind,304.1,Pending
RET-0578,ORD-02988,2024-12-08,Better price elsewhere,696.11,Processed
RET-0579,ORD-03925,30/09/2023,Defective product,559.66,Pending
RET-0580,ORD-00176,2020-07-24,Better price elsewhere,$587.17,Processed
RET-0581,ORD-03358,2021-10-17,Defective product,559.26,Pending
RET-0582,ORD-00800,2020-07-21,Better price elsewhere,487.54,Pending
RET-0583,ORD-00154,2023-01-28,Duplicate order,708.67,Rejected
RET-0584,ORD-01983,2022-05-17,Damaged in shipping,213,Rejected
RET-0585,ORD-02480,2023-05-10,Defective product,$293.69,Processed
RET-0586,ORD-04988,2024-06-06,Better price elsewhere,433.47,Rejected
RET-0587,ORD-02803,2024-08-05,Changed mind,38.31,Processed
RET-0588,ORD-05163,2021-06-27,Duplicate order,706.66,Rejected
RET-0589,ORD-01027,"January 29, 2022",Defective product,241.62,Rejected
RET-0590,ORD-02548,2021-02-23,Defective product,520.17,Processed
RET-0591,ORD-00638,2022-11-02,Wrong item received,790.27,Rejected
RET-0592,ORD-04665,"June 28, 2024",Wrong item received,$604.71,Pending
RET-0593,ORD-03128,2021-07-18,Duplicate order,681.44,Processed
RET-0594,ORD-05183,06/20/2020,Quality issues,94.13,Pending
RET-0595,ORD-03579,2020-06-21,Quality issues,261.53,Rejected
RET-0596,ORD-04576,2024-10-03,Wrong item received,581.33,Rejected
RET-0597,ORD-01583,"December 25, 2023",Damaged in shipping,721.82,Processed
RET-0598,ORD-04655,2023-06-10,Damaged in shipping,273.84,Rejected
RET-0599,ORD-03863,2021-10-30,Wrong item received,741.09,Rejected
RET-0600,ORD-04271,2022-02-20,Damaged in shipping,384.86,Pending
RET-0601,ORD-02835,"September 3, 2022",Damaged in shipping,754.8,Pending
RET-0602,ORD-03659,2021-06-21,Quality issues,501.92,Rejected
RET-0603,ORD-02542,03/20/2020,Product not as described,756,Pending
RET-0604,ORD-04146,2021-11-05,Damaged in shipping,363.44,Rejected
RET-0605,ORD-02966,2022-12-15,Wrong item received,105.29,Rejected
RET-0606,ORD-03793,10/31/2023,Damaged in shipping,495.29,Pending
RET-0607,ORD-01888,2022-07-23,Duplicate order,621.14,Pending
RET-0608,ORD-02759,2022-10-24,Better price elsewhere,$282.38,Pending
RET-0609,ORD-03935,2023-03-16,Better price elsewhere,$571.56,Rejected
RET-0610,ORD-00240,2022-07-21,Changed mind,342.98,Rejected
RET-0611,ORD-02530,2021-08-11,Damaged in shipping,394.22,Processed
RET-0612,ORD-02622,2022-02-24,Damaged in shipping,124.59,Pending
RET-0613,ORD-05173,2022-10-09,Changed mind,410.4,Processed
RET-0614,ORD-03313,"May 20, 2024",Changed mind,790.85,Processed
RET-0615,ORD-05028,2024-11-21,Defective product,189.42,Processed
RET-0616,ORD-04278,2024-06-02,Changed mind,148.23,Rejected
RET-0617,ORD-03752,2022-05-29,Changed mind,384.89,Rejected
RET-0618,ORD-01659,12/10/2024,Damaged in shipping,321.16,Pending
RET-0619,ORD-04951,2020-07-24,Duplicate order,207.75,Pending
RET-0620,ORD-05013,2021-05-10,Wrong item received,699.11,Processed
RET-0621,ORD-03820,2024-03-30,,30.31,Pending
RET-0622,ORD-04830,2022-07-04,Changed mind,482.45,Processed
RET-0623,ORD-01519,11/25/2024,,557.59,Pending
RET-0624,ORD-01385,2020-09-01,Product not as described,227.05,Rejected
RET-0625,ORD-02417,2021-07-13,Damaged in shipping,560.75,Processed
RET-0626,ORD-05064,2023-02-27,Quality issues,44.39,Pending
RET-0627,ORD-01833,2021-04-04,,332.12,Processed
RET-0628,ORD-04900,2024-12-10,Product not as described,389.06,Rejected
RET-0629,ORD-03389,"March 15, 2020",Defective product,389.97,Pending
RET-0630,ORD-00495,2023-01-30,Product not as described,744.97,Pending
RET-0631,ORD-03537,2022-01-22,Defective product,134.23,Processed
RET-0632,ORD-00751,2024-06-05,Better price elsewhere,733.53,Processed
RET-0633,ORD-01704,2022-12-08,Better price elsewhere,471.36,Pending
RET-0634,ORD-03809,2021-07-27,,$197.44,Rejected
RET-0635,ORD-03782,2023-01-05,Quality issues,87.3,Pending
RET-0636,ORD-02167,2020-12-20,Damaged in shipping,$166.65,Rejected
RET-0637,ORD-03625,2023-08-26,,175.73,Pending
RET-0638,ORD-02924,15 March 2021,Damaged in shipping,168.22,Processed
RET-0639,ORD-02735,2023-06-25,Duplicate order,85.75,Processed
RET-0640,ORD-00860,2020-07-06,Better price elsewhere,432.96,Rejected
RET-0641,ORD-02272,13/07/2023,Changed mind,$786.56,Processed
RET-0642,ORD-02227,2021-03-12,Damaged in shipping,545.34,Rejected
RET-0643,ORD-03906,2023-04-29,Better price elsewhere,698.53,Rejected
RET-0644,ORD-01617,19 November 2022,Quality issues,195.6,Pending
RET-0645,ORD-00667,29 February 2024,Product not as described,255.15,Pending
RET-0646,ORD-05130,2020-10-26,Quality issues,292.22,Processed
RET-0647,ORD-02167,2020-11-15,Better price elsewhere,707.79,Rejected
RET-0648,ORD-00310,2020-04-06,Quality issues,521.77,Processed
RET-0649,ORD-00944,2024-08-23,Wrong item received,798.14,Rejected
RET-0650,ORD-05138,29/09/2021,Wrong item received,$738.93,Pending
RET-0651,ORD-04704,2024-07-29,Better price elsewhere,612.93,Rejected
RET-0652,ORD-01859,2022-01-03,Duplicate order,$57.90,Rejected
RET-0653,ORD-04991,24 September 2020,Duplicate order,336.94,Pending
RET-0654,ORD-02739,2020-07-28,Damaged in shipping,750.17,Processed
RET-0655,ORD-05070,2020-08-28,Better price elsewhere,679.25,Processed
RET-0656,ORD-02584,2021-12-29,Damaged in shipping,373.95,Pending
RET-0657,ORD-03175,2021-01-12,Quality issues,426.51,Pending
RET-0658,ORD-03754,13 April 2024,Product not as described,253.67,Pending
RET-0659,ORD-02211,2021-07-01,Product not as described,290.56,Rejected
RET-0660,ORD-02043,11 November 2024,Wrong item received,684.03,Processed
RET-0661,ORD-00628,2020-09-11,Product not as described,62.62,Pending
RET-0662,ORD-03215,05/30/2023,Wrong item received,264.14,Processed
RET-0663,ORD-03686,2021-10-08,Quality issues,43.57,Processed
RET-0664,ORD-00150,2021-02-01,Product not as described,420,Pending
RET-0665,ORD-04996,"April 16, 2021",Defective product,558.91,Pending
RET-0666,ORD-04645,2024-06-20,Product not as described,781.17,Rejected
RET-0667,ORD-00919,2023-11-07,Better price elsewhere,668.29,Rejected
RET-0668,ORD-04191,02/28/2021,Wrong item received,155.11,Processed
RET-0669,ORD-03127,16 January 2022,Duplicate order,304.02,Processed
RET-0670,ORD-01938,2022-04-03,Duplicate order,$390.93,Processed
RET-0671,ORD-00226,16/07/2023,Defective product,427.97,Processed
RET-0672,ORD-00407,2024-04-11,Wrong item received,$592.54,Rejected
RET-0673,ORD-04346,2022-08-10,,757.63,Pending
RET-0674,ORD-00747,04/13/2022,Better price elsewhere,546.3,Pending
RET-0675,ORD-00076,2021-12-04,Quality issues,98.19,Pending
RET-0676,ORD-04386,30 July 2022,Product not as described,$632.43,Processed
RET-0677,ORD-03754,14/03/2023,Better price elsewhere,227.68,Pending
RET-0678,ORD-01859,2020-03-02,Defective product,400.79,Processed
RET-0679,ORD-00206,2023-05-23,Damaged in shipping,447.78,Pending
RET-0680,ORD-00544,2022-05-26,Wrong item received,607.84,Pending
RET-0681,ORD-04082,2023-06-16,Product not as described,150.99,Rejected
RET-0682,ORD-04822,22 December 2021,Changed mind,763.66,Processed
RET-0683,ORD-03656,2024-10-28,Product not as described,603.78,Rejected
RET-0684,ORD-01807,2023-04-23,Quality issues,352.05,Processed
RET-0685,ORD-02941,2022-02-17,Changed mind,790.58,Rejected
RET-0686,ORD-04665,14 July 2023,Defective product,166.28,Processed
RET-0687,ORD-00932,2023-05-03,Wrong item received,388.92,Pending
RET-0688,ORD-05171,2021-06-12,Product not as described,460.86,Pending
RET-0689,ORD-01241,11/06/2021,,448.55,Processed
RET-0690,ORD-04023,2022-09-29,Product not as described,577.34,Rejected
RET-0691,ORD-00804,2023-12-09,Changed mind,648.69,Rejected
RET-0692,ORD-01385,2020-12-22,Better price elsewhere,598.93,Rejected
RET-0693,ORD-01331,11/10/2020,Product not as described,384.77,Processed
RET-0694,ORD-01620,2024-02-04,Defective product,470.99,Pending
RET-0695,ORD-04475,2022-01-26,Changed mind,600.32,Processed
RET-0696,ORD-01345,2023-07-17,Product not as described,311.62,Pending
RET-0697,ORD-04381,2023-05-31,Wrong item received,779.2,Rejected
RET-0698,ORD-01331,2021-10-12,Wrong item received,491.13,Rejected
RET-0699,ORD-01704,2023-04-30,Changed mind,67.91,Rejected
RET-0700,ORD-01031,2024-06-03,Wrong item received,551.2,Pending
RET-0701,ORD-00013,2021-11-24,Product not as described,712.74,Rejected
RET-0702,ORD-00778,"June 8, 2024",Quality issues,609.45,Pending
RET-0703,ORD-03573,26 September 2022,Changed mind,224.13,Pending
RET-0704,ORD-05164,2022-02-01,Changed mind,260.43,Processed
RET-0705,ORD-03329,2024-07-25,Better price elsewhere,61.9,Rejected
RET-0706,ORD-01480,2020-09-26,Wrong item received,87.24,Rejected
RET-0707,ORD-03552,2022-04-10,Wrong item received,58.92,Pending
RET-0708,ORD-03928,2023-06-11,Product not as described,693.42,Processed
RET-0709,ORD-02910,11/05/2023,Product not as described,81.72,Rejected
RET-0710,ORD-02126,2024-12-25,Better price elsewhere,20.46,Processed
RET-0711,ORD-00327,2021-05-30,Duplicate order,750.9,Rejected
RET-0712,ORD-02145,"October 17, 2020",Product not as described,384.66,Processed
RET-0713,ORD-02776,2021-05-02,Defective product,337.82,Pending
RET-0714,ORD-04153,2020-09-02,Defective product,756.24,Processed
RET-0715,ORD-02227,3 April 2021,Quality issues,120.3,Processed
RET-0716,ORD-02978,2021-02-07,Damaged in shipping,138.26,Processed
RET-0717,ORD-01195,2020-04-15,Duplicate order,29.96,Pending
RET-0718,ORD-02957,2024-06-09,Duplicate order,582.17,Rejected
RET-0719,ORD-05012,2020-08-10,Changed mind,478.64,Pending
RET-0720,ORD-02296,"July 4, 2023",Product not as described,783.27,Pending
RET-0721,ORD-00154,7 April 2021,Defective product,501.68,Processed
RET-0722,ORD-05013,07/06/2023,Wrong item received,347.17,Pending
RET-0723,ORD-01607,"November 23, 2022",Quality issues,$592.17,Pending
RET-0724,ORD-02656,03/05/2020,,114.01,Processed
RET-0725,ORD-03056,2024-03-23,Changed mind,374.86,Rejected
RET-0726,ORD-04763,2020-09-16,Product not as described,29.06,Processed
RET-0727,ORD-03258,13/06/2021,Wrong item received,73.23,Pending
RET-0728,ORD-04010,2020-08-26,Product not as described,238.4,Processed
RET-0729,ORD-00012,2023-10-09,Changed mind,431.68,Processed
RET-0730,ORD-03405,09/17/2023,Duplicate order,661.34,Processed
RET-0731,ORD-01659,2021-03-14,Changed mind,258.03,Pending
RET-0732,ORD-00424,2024-08-02,Duplicate order,475.6,Pending
RET-0733,ORD-05046,2022-02-15,Damaged in shipping,706.99,Pending
RET-0734,ORD-01965,2024-02-14,Duplicate order,787.87,Rejected
RET-0735,ORD-03920,2021-06-15,Duplicate order,636.44,Rejected
RET-0736,ORD-00472,2022-02-09,,296.64,Rejected
RET-0737,ORD-03837,2020-08-27,Damaged in shipping,175.99,Pending
RET-0738,ORD-05161,2022-02-10,Damaged in shipping,543.53,Processed
RET-0739,ORD-02983,2021-12-13,Defective product,116.25,Pending
RET-0740,ORD-04836,2021-07-18,,253.87,Processed
RET-0741,ORD-02520,2020-06-20,Product not as described,644.61,Processed
RET-0742,ORD-01831,2024-02-07,Better price elsewhere,717.69,Pending
RET-0743,ORD-03520,2023-03-09,Changed mind,387.36,Rejected
RET-0744,ORD-01523,2021-07-04,Duplicate order,178.36,Pending
RET-0745,ORD-04191,2020-07-05,Changed mind,433.5,Pending
RET-0746,ORD-01374,2020-06-23,,$254.21,Processed
RET-0747,ORD-01975,2024-07-06,Quality issues,231.47,Pending
RET-0748,ORD-00420,2022-06-22,Product not as described,$13.81,Processed
RET-0749,ORD-01321,2021-04-01,Damaged in shipping,545.57,Pending
RET-0750,ORD-02527,2023-02-05,Product not as described,685.8,Processed
RET-0751,ORD-00696,16/01/2022,Better price elsewhere,300.23,Processed
RET-0752,ORD-03424,2022-10-19,Changed mind,125.7,Pending
RET-0753,ORD-02706,2021-11-02,Wrong item received,799.27,Rejected
RET-0754,ORD-02551,"July 19, 2021",Defective product,257.33,Rejected
RET-0755,ORD-00416,2023-01-08,Better price elsewhere,176.41,Processed
RET-0756,ORD-03520,2024-01-12,Damaged in shipping,$383.77,Processed
RET-0757,ORD-04148,2021-09-15,Defective product,451.41,Pending
RET-0758,ORD-00212,2020-05-08,Product not as described,$688.20,Processed
RET-0759,ORD-02404,"September 26, 2022",Product not as described,640.04,Processed
RET-0760,ORD-02783,26/04/2020,,655.94,Processed
RET-0761,ORD-03863,2021-07-23,Quality issues,424.09,Pending
RET-0762,ORD-04888,2020-04-17,Defective product,110.63,Pending
RET-0763,ORD-03673,"July 10, 2020",Product not as described,642.51,Pending
RET-0764,ORD-04903,2022-02-16,Changed mind,$699.22,Processed
RET-0765,ORD-01713,2023-11-09,Quality issues,271.62,Rejected
RET-0766,ORD-00783,"September 7, 2021",Damaged in shipping,736.88,Pending
RET-0767,ORD-00304,6 October 2024,Product not as described,156.91,Rejected
RET-0768,ORD-02741,2024-08-02,,483.95,Processed
RET-0769,ORD-02585,2021-05-22,Quality issues,115.94,Pending
RET-0770,ORD-02480,29 June 2022,Damaged in shipping,516.68,Rejected
RET-0771,ORD-00338,2023-01-29,Defective product,667.65,Pending
RET-0772,ORD-04124,2022-07-27,Product not as described,665.64,Processed
RET-0773,ORD-02835,2023-01-06,Defective product,403.12,Rejected
RET-0774,ORD-04736,01/09/2020,Damaged in shipping,399.9,Rejected
RET-0775,ORD-04466,2020-09-23,Product not as described,206.08,Processed
RET-0776,ORD-04511,2022-09-28,Product not as described,47.17,Pending
RET-0777,ORD-00899,2022-05-14,Better price elsewhere,$438.78,Processed
RET-0778,ORD-02501,2023-08-17,Changed mind,629.99,Rejected
RET-0779,ORD-05041,2022-12-22,Defective product,132.97,Processed
RET-0780,ORD-03514,2020-11-20,Defective product,780.21,Pending
RET-0781,ORD-03112,2024-05-25,Better price elsewhere,511.23,Rejected
RET-0782,ORD-01575,2024-10-24,,763.35,Pending
RET-0783,ORD-03665,2024-05-14,Wrong item received,548,Processed
RET-0784,ORD-05156,2020-10-22,Defective product,96.86,Processed
RET-0785,ORD-01875,12 January 2023,Changed mind,$420.11,Rejected
RET-0786,ORD-04443,2023-08-29,Product not as described,601.37,Pending
RET-0787,ORD-01598,2023-05-22,Quality issues,793.97,Pending
RET-0788,ORD-04735,2022-12-28,Changed mind,144.36,Processed
RET-0789,ORD-02370,2024-09-20,Better price elsewhere,297.43,Processed
RET-0790,ORD-03779,2020-05-18,Defective product,217.19,Pending
RET-0791,ORD-03555,2023-11-06,Changed mind,755.05,Rejected
RET-0792,ORD-04407,2021-01-10,Changed mind,186.85,Processed
RET-0793,ORD-02288,2020-03-09,Damaged in shipping,$663.82,Pending
RET-0794,ORD-01136,8 March 2023,Changed mind,324.22,Rejected
RET-0795,ORD-01628,07/08/2021,,239.85,Rejected
RET-0796,ORD-00768,2022-12-22,Product not as described,$181.40,Processed
